original,augmented
142 Tamarind Road 806089,142 taMArinD roaD SG 806089
142 Tamarind Road 806089,142 Tamarind Road S(806089)
142 Tamarind Road 806089,142 Tamarind Rd
"29, Science Park Road 117674",29  Science Park ROAD
"29, Science Park Road 117674",29  ScIeNCe paRk rd SG 117674
"29, Science Park Road 117674","29, Science Park ROAD Singapore 117674"
112 East Coast Rd #03-31 428602,112 East Coast Rd #03-31 S(428602) (Near Exit A)
112 East Coast Rd #03-31 428602,112 East Coast Rd #03-31 S428602 (Opposite XXX)
112 East Coast Rd #03-31 428602,112 East Coast Rd #03-31 S(428602)
Science Park Drive 118255,SciENce pArK Dr S(11u255)
Science Park Drive 118255,Science Park Dr Singapore 118255
Science Park Drive 118255,sCiencE parK nrIve 118255 (Beside MRT)
"1 Tanjang Pagar Plaza, #02-29, 82001",1 Tanjang Pagar Plaza #02-29  SG 82001
"1 Tanjang Pagar Plaza, #02-29, 82001",1 tanJAnG pAgar plaZa #02-29  82001
"1 Tanjang Pagar Plaza, #02-29, 82001",1 Tanjang Pagar Plaza  #2-29  SG 82001
391 Orchard Road B2-07-9-1 Ngee Ann City 238872,391 orchard RoaD B2-07-9-1 Ngee aNn cIty
391 Orchard Road B2-07-9-1 Ngee Ann City 238872,391 Orchard rd B2-07-9-1 Ngee Ann City S(238872)
391 Orchard Road B2-07-9-1 Ngee Ann City 238872,391 Orchard Roxd B2-07-9-1 Ngee Ann City S(238872)
101 KITCHENER ROAD 13-04 JLN BESAR PLAZA 208511,101 kItcheNer roaD 13-04 Jln BesaR pLAza 208511 (Near Gate 3)
101 KITCHENER ROAD 13-04 JLN BESAR PLAZA 208511,101 KITCHENER ROAD 13-04 JLN BESAR PLAZA S(208511) (Near Gate 3)
101 KITCHENER ROAD 13-04 JLN BESAR PLAZA 208511,101 KITCHENER ROAD 13-04 JLN BESAR PLAZA SG 208511
6 BATTERY ROAD 29-01 49909,6 baTTery roaD 29-01 Singapore 49909
6 BATTERY ROAD 29-01 49909,6 baTterY Road 29-01 49909
6 BATTERY ROAD 29-01 49909,6 battErY roai 29-01 (Behind Carpark)
16 Sin Ming Walk #03-07 575568,16 Sin Ming Walk #03-07 575568
16 Sin Ming Walk #03-07 575568,16 SiN minG waLk #03-07 575568 (Beside MRT)
16 Sin Ming Walk #03-07 575568,16 SIn miNG walk #03-07 Singapore 575568
Lucky Plaza 304 Orchard Road #03-43 238863,Lucky Plaza 304 Orchard rd #03-43 S(238863)
Lucky Plaza 304 Orchard Road #03-43 238863,Lucky Plaza 304 Orchard Raad #03-43 Singapore 238863
Lucky Plaza 304 Orchard Road #03-43 238863,luCkY plaza 304 oRchArD rnad #03-43
20 MAXWELL ROAD 05-08 MAXWELL HOUSE 69113,20 MAXWELL ROAD 05-08 MAXWELL HOUSE SG 69113 (Behind Carpark)
20 MAXWELL ROAD 05-08 MAXWELL HOUSE 69113,20 MAXWELL ROAD 05-08 MAXWELx HOUSE 69113
20 MAXWELL ROAD 05-08 MAXWELL HOUSE 69113,20 maXweLl moad 05-08 maxwelL hOusE S69113
15 Woodlands Loop #04-06 738322,15 WoodlaNds loop #04-06 SG 738322
15 Woodlands Loop #04-06 738322,15 sooDlands loop #04-06 Singapore 738322
15 Woodlands Loop #04-06 738322,15 Woodlands Loop #04-06 Singapore 738322 (Opposite Gate 3)
171 Kampong Ampat #06-12 KA FOODLINK 368330,171 Kampong Ampat #06-12 KA FOODLINK Singapore 368330
171 Kampong Ampat #06-12 KA FOODLINK 368330,171 Kampong Ampat #06-12 KA FOODLINK S(368330e (Opposite XXX)
171 Kampong Ampat #06-12 KA FOODLINK 368330,171 kAmPonG aMpAt #6-12 Ka fooDLINK Singapore 368330
Pasir Panjang Wholesale Centre 10 Wholesale Centre #01-487 110010,lasir Panjang Wholesale Centre 10 Wholesale Centre #01-48 SG 110010
Pasir Panjang Wholesale Centre 10 Wholesale Centre #01-487 110010,Pasir Panjang Wholesale Centre 10 Wholesale Centre #1-487 S110010
Pasir Panjang Wholesale Centre 10 Wholesale Centre #01-487 110010,Pasir Panjang Wholesale Centre 10 Wholesale Centre #01-487 SG 110010
"BLK 698 HOUGANG STREET 61, #01-14 530698","BLK 698 HOUGANG STREET 61, #01-14 SG 530698"
"BLK 698 HOUGANG STREET 61, #01-14 530698",Blk 698 hoUgang STreeT 61  #01-14
"BLK 698 HOUGANG STREET 61, #01-14 530698",BLK 698 HOUGANG STREET 61  #01-14 Singapore 530698
Nipplecraft 9 Fan Yoong Road 629787,Nipplecraft 9 Fan Yoong rd S(629787)
Nipplecraft 9 Fan Yoong Road 629787,nIPplecraft 9 fan yooNg roAD S(629787) (Beside MRT)
Nipplecraft 9 Fan Yoong Road 629787,Nipplecraft 9 Fan Yoong ROAD Singapore 629787
221 Henderson Rd #06-19 Henderson Bldg S() 159557,221 hENDeRsON rD #06-19 heNDeRson blDg s() 159557
221 Henderson Rd #06-19 Henderson Bldg S() 159557,221 henderSon RD #06-19 henDeRsOn blDg S() 159557
221 Henderson Rd #06-19 Henderson Bldg S() 159557,221 Henderson Rd #6-19 Henderson Bldg S() 159557 (Near Gate 3)
21 Toh Guan Road East #05-06 Toh Guan Ctr 608609,21 Toh Guan Road East #05-06 Toh Gurn Ctr S608609 (Near Exit A)
21 Toh Guan Road East #05-06 Toh Guan Ctr 608609,21 tOh guan rD East #05-06 ToH GuaN CtR
21 Toh Guan Road East #05-06 Toh Guan Ctr 608609,21 Toh Guai Road East #05-06 Toh Guan Ctr
2 Kallang Avenue 02-11 Kallang Bahru Complex 339407,2 Kallang Avenue 02-11 Kallang Bahru Complex SG 339407 (Near Gate 3)
2 Kallang Avenue 02-11 Kallang Bahru Complex 339407,2 kallanG AvENUe 02-11 kaLlAng BAhru comPLlx
2 Kallang Avenue 02-11 Kallang Bahru Complex 339407,2 Kallang Avenue 02-11 Kallang Bahru Complex S(339407)
24 Raffles Pl #14-01 48621,24 rafFLeS pl #14-01 S48621
24 Raffles Pl #14-01 48621,24 RafflES Pl #14-01
24 Raffles Pl #14-01 48621,24 Raffles Pl #14-01 48621
"200 Jalan Sultan ,03-03 190189",200 jaLaN sultzn 03-03 S(190189)
"200 Jalan Sultan ,03-03 190189",200 jalAN SULtan  03-03 SG 190189 (Beside MRT)
"200 Jalan Sultan ,03-03 190189",200 Jalan Sultan  03-03 Singapore 190189 (Near Gate 3)
271 Bt Timah Rd #02-17 259708,271 Bt Timah Rd #02-17 Singapore 259708
271 Bt Timah Rd #02-17 259708,271 Bt Timah Rd #2-17
271 Bt Timah Rd #02-17 259708,271 Bt Timah Rd #02-17
"150, Yunnan Cres 637996","150, yunnan crEs Singapore 637996"
"150, Yunnan Cres 637996","150, Yunnan Cres SG 637996"
"150, Yunnan Cres 637996",150  YuNnaN Cres 637996 (Behind Carpark)
10 Upper Aljunied Link #04-09 York Internationa Industrial Building 367904,10 Upper aLJuNied linK #04-09 YORk iNtErNationa InduStrial buIlding SG 367904
10 Upper Aljunied Link #04-09 York Internationa Industrial Building 367904,10 Upper Aljunied Link #04-09 York Internationa Industrial Building SG 367904
10 Upper Aljunied Link #04-09 York Internationa Industrial Building 367904,10 UpPEr aljUnied lInk #04-09 yoRk internationA IndUSTRIAL BuiLdIng 367904
58 Tras Street 04-02 78997,58 Tras Sxreet 04-02 S(78997) (Beside MRT)
58 Tras Street 04-02 78997,58 jras st 04-02 78997
58 Tras Street 04-02 78997,58 Tras Street 04-02 S78997
30 Merchant Rd #02-29 58282,30 Merchant Rd #02-29 SG 58282 (Opposite Gate 3)
30 Merchant Rd #02-29 58282,30 mERChant rd #02-29 S(58282)
30 Merchant Rd #02-29 58282,30 meRChant rd #2-29
111 Killiney Road 239550,111 Killiney Road 239550
111 Killiney Road 239550,111 KIlliNzy road 239550
111 Killiney Road 239550,111 Killiney ROAD SG 239550 (Near Exit A)
Kheng Seng Industrial Building 34 Genting Lane #01-05 349552,Kheng Seng Industrial Building 34 Genting Lane #01-05 Singapore 349552 (Near Gate 3)
Kheng Seng Industrial Building 34 Genting Lane #01-05 349552,Kheng Seng Industrial Building 34 Genting ln #01-05 SG 349552 (Opposite XXX)
Kheng Seng Industrial Building 34 Genting Lane #01-05 349552,Kheng Seng Industrial Building 34 Genting ln #01-05 S(34955d)
"Block 1013 Geylang East Ave 3 01-172, Geylang East Industrial Estate, 389728",block 1013 geylang EasT ave 3 01-172 GEYLAng eaST iNdusTrIAl estatE 
"Block 1013 Geylang East Ave 3 01-172, Geylang East Industrial Estate, 389728",bLock 1013 geylatg EAst ave 3 01-172 GEylaNg EasT iNDusTRial esTate S(389728) (Behind Carpark)
"Block 1013 Geylang East Ave 3 01-172, Geylang East Industrial Estate, 389728",Block 1013 Geylang East Ave 3 01-172 Geylang East Industrial Estate  (Behind Carpark)
Blk 1 Joo Chiat Rd #03-1047/1071 Joo Chiat Complex S() 420001,Blk 1 Joo Chiat Rd #3-1047/1071 Joo Chiat Complex S() SG 420001
Blk 1 Joo Chiat Rd #03-1047/1071 Joo Chiat Complex S() 420001,Blk 1 Joo Chiat Rd #03-1047/1071 Joo Chiat Complex S() SG 420001 (Bjhind Carpark)
Blk 1 Joo Chiat Rd #03-1047/1071 Joo Chiat Complex S() 420001,Blk 1 joo chIat rd #03-1047/1071 joO chiAt complEx s() Singapore 420001
2 JURONG EAST CENTRAL 1 01-01 JURONG ENTERTAINMENT CENTRE 609731,2 jUrOnG EasT centRal 1 01-01 JUrong entErTaInment centRe S609731
2 JURONG EAST CENTRAL 1 01-01 JURONG ENTERTAINMENT CENTRE 609731,2 juroNg gasT CeNtrAL 1 01-01 Jurong EntertaiNmEnt centRE 609731
2 JURONG EAST CENTRAL 1 01-01 JURONG ENTERTAINMENT CENTRE 609731,2 Jurong EasT central 1 01-01 JurOng enTErtaiNmEnt centrE S(609731)
397 Joo Chiat Rd 427628,397 joo chiaT Rd 427628 (Opposite XXX)
397 Joo Chiat Rd 427628,397 joO chiaT Rd SG 427628
397 Joo Chiat Rd 427628,397 joo chiaT rd S427628 (Opcosite XXX)
39 Keppel Road BLK 2 #02-04 Tanjong Pagar Distripark 2 89065,39 KePpEl rd blK 2 #02-04 TaNjong Pagar DistrIPARk 2 S89065
39 Keppel Road BLK 2 #02-04 Tanjong Pagar Distripark 2 89065,39 Keppel rd BLK 2 #02-04 Tanjong Pagar Distripark 2 S89065 (Behind Carpark)
39 Keppel Road BLK 2 #02-04 Tanjong Pagar Distripark 2 89065,39 kepPeL Rd Blk 2 #2-04 TaNJONg paGar dIstRIPark 2 89065
100 Robertson Quay 238250,100 Robertson Quay S(238250)
100 Robertson Quay 238250,100 rObERtSon QuaY S(238250) (Beside MRT)
100 Robertson Quay 238250,100 rObertson Quay S238250
Hougang St 51 530551,Hougang St 51 Singapore 530551
Hougang St 51 530551,houGAnG st 51 Singapore 530551
Hougang St 51 530551,HOUgang st 51 SG 530551
Katong Shopping Centre 865 Mountbatten Road #05-09 437844,kAtong shoPping CEntrE 865 mountBatten rd #05-09 S437844
Katong Shopping Centre 865 Mountbatten Road #05-09 437844,katonG sHopping CentRe 865 mounmbatten rd #5-09
Katong Shopping Centre 865 Mountbatten Road #05-09 437844,KAtong shopping CEnTRE 865 mounTbatTen Rd #05-09 Singapore 437844
254A Jurong East Street 24 01-K2 601254,254A Jurong East St 24 01-K2 601254 (Beside MRT)
254A Jurong East Street 24 01-K2 601254,254A Jurong East Street 24 01-K2 SG 601254
254A Jurong East Street 24 01-K2 601254,254A Jurong eASt sT 24 01-k2
269 Queen St #02-240 180269,269 qUEen st #02-240 S180269 (Near Gate 3)
269 Queen St #02-240 180269,269 Queen St #02-240 Si180269)
269 Queen St #02-240 180269,269 queen st #02-240 S(180269)
"77 INDUS ROAD, #01-499 160077",77 Indus Road #01-499 Singapore 160077 (Behind Cahpark)
"77 INDUS ROAD, #01-499 160077",77 INDUS ROAD  #01-499 Singapore 160077
"77 INDUS ROAD, #01-499 160077","77 INDUS ROAD, #01-49 (Behind Carpark)"
"Blk 736, Pasir Ris Drive, 510736",BLk 736 pasiR ris dR  510736
"Blk 736, Pasir Ris Drive, 510736","bLk 736, pasgr rIS DRive,"
"Blk 736, Pasir Ris Drive, 510736","Blk 736, pasir Ris dr, S510736"
"54 MAUDE ROAD, #03-08 208346","54 MaUde road, #03-08 S(208346)"
"54 MAUDE ROAD, #03-08 208346","54 MAUDE ROAD, #03-08 S(j08346)"
"54 MAUDE ROAD, #03-08 208346",54 mAude roAd #3-08 S208346 (Opposite Gawe 3)
IMM Building 2 Jurong East Street 21 #02-106 609601,IMm builDinG 2 jurong east st 21 #02-106 609601 (Near Exit A)
IMM Building 2 Jurong East Street 21 #02-106 609601,imm buiLdIng 2 juRONg EasT StreeT 21 #02-106 S609601
IMM Building 2 Jurong East Street 21 #02-106 609601,IMM Building 2 Jurong East St 21 #02-106 SG 609601
5001 BEACH RD 03-47 199588,5001 BEach rD 03-47 Singapore 199588 (Near Gate 3)
5001 BEACH RD 03-47 199588,5001 beaCh rd 03-47 199588 (Beside MRT)
5001 BEACH RD 03-47 199588,5001 Beach rd 03-47 S199588
"233 Ang Mo Kio Ave 3, 03-1192 560233","233 Ang Mo Kio Ave 3, 03-1192 560233"
"233 Ang Mo Kio Ave 3, 03-1192 560233",233 ang mo kio aVe 3  03-1192 Singapore 560233
"233 Ang Mo Kio Ave 3, 03-1192 560233",233 Ang Mo Kio Ave 3  03-1192 Singapore 560233
"143 CECIL STREET, #09-01 69542","143 CaCIL STREET, #9-01 S(69542)"
"143 CECIL STREET, #09-01 69542",143 cecil StreET  #09-01 Singapore 69542
"143 CECIL STREET, #09-01 69542","143 cECIl sTrEet, #09-01 Singapore 69542 (Opposite Gate 3)"
8 Temasek Boulevard #43-01 Suntec Tower 3 38988,8 Temasek blvd #43-01 Suntec Tower 3 S(38988)
8 Temasek Boulevard #43-01 Suntec Tower 3 38988,8 Temasek blvd #43-01 Suntec Tower 3 38988
8 Temasek Boulevard #43-01 Suntec Tower 3 38988,8 Temasek blvd #43-01 Suntec Tower 3
BLK 13 SHORT STREET#01-14 180013,BLK 13 SHORT STREET#01-14 SG 180013 (Behind Carpark)
BLK 13 SHORT STREET#01-14 180013,BLK 13 sHOrt sTreet#01-14 S(180013) (Opposite Gate 3)
BLK 13 SHORT STREET#01-14 180013,Blk 13 ShOrt Street#01-14 S(180013)
54 Serangoon North Ave 4 #06-14 Cyberhub North 555854,54 Serangoon North Ave 4 #06-14 Cyberhub North S555854
54 Serangoon North Ave 4 #06-14 Cyberhub North 555854,54 Serangoon North Ave 4 #6-14 Cyberhub North 555854
54 Serangoon North Ave 4 #06-14 Cyberhub North 555854,54 Serangoon North Ave 4 #06-14 Cyberhub North S(555854)
121 Bt Merah Lane 1 #01-12 150121,121 bT mErah ln 1 #01-12 (Near Gate 3)
121 Bt Merah Lane 1 #01-12 150121,121 Bt mERah lane 1 #01-12 150121 (Near Gate 3)
121 Bt Merah Lane 1 #01-12 150121,121 bt merah Ln 1 #01-12 150121
No.5 Jurong East St 32 #13-04 609479,No.5 Jurong East St 32 #13-04 609479
No.5 Jurong East St 32 #13-04 609479,nd.5 jUrong eAst st 32 #13-04 SG 609479
No.5 Jurong East St 32 #13-04 609479,no.5 jUronG EAsT sT 32 #13-04 609479
"BLK 801 FRENCH ROAD, #02-49 200801",Blk 801 frencH RoAD #02-49 SG 200801 (Opposite XXX)
"BLK 801 FRENCH ROAD, #02-49 200801","BLK 801 FRENCH ROAD, #02-49 S200801 (Behind Carpark)"
"BLK 801 FRENCH ROAD, #02-49 200801","BLK 801 FRENCH ROAD, #2-49 200801"
10 Ghim Moh Road 01-92 270010,10 ghim MoH rd 01-92
10 Ghim Moh Road 01-92 270010,10 ghiM moh road 01-92 S270010
10 Ghim Moh Road 01-92 270010,10 GhiM MoH rd 01-92 270010
50 Gul Road CONTAINER OFFICE 629351,50 Gul Rd CONTAINER OFFICE
50 Gul Road CONTAINER OFFICE 629351,50 Gul Road CONTAINER OFFICE SG 629351
50 Gul Road CONTAINER OFFICE 629351,50 Gul ROAD CONTAINER OFFICE
29 FISHERY PORT ROAD 619740,29 FISHERY PORT ROAD S(619740) (Opposite XXX)
29 FISHERY PORT ROAD 619740,29 FISHERY PORT ROAD S(619740) (Beside MRT)
29 FISHERY PORT ROAD 619740,29 FISHERY PORT ROAD 619740 (Near Exit A)
"587 BUKIT TIMAH ROAD, #02-10 269707",587 BUKIT TIMAH ROAD #02-10 S(269707)
"587 BUKIT TIMAH ROAD, #02-10 269707",587 BUKIT TIMAH ROAD  #02-10 269707
"587 BUKIT TIMAH ROAD, #02-10 269707",587 BUKIT TIMAH ROAD #02-10 SG 269707 (Near Gate 3)
111 North Bridge Road 05-33 Peninsula Plaza 79098,111 North Bridge rd 05-33 Peninsula Plaza
111 North Bridge Road 05-33 Peninsula Plaza 79098,111 noRth BrIDGe rOad 05-33 peNinsula plaZa Singapore 79098
111 North Bridge Road 05-33 Peninsula Plaza 79098,111 North Bridge rd 05-33 Peninsula Plaza S(79098)
"51 Bukit Batok Cresent Unity Centre ,08-18 658077","51 BukIT BATOk creSent unIty centrE ,08-18 658077"
"51 Bukit Batok Cresent Unity Centre ,08-18 658077","51 buKit baTok Cresent UnitY cEntre ,08-18 SG 658077"
"51 Bukit Batok Cresent Unity Centre ,08-18 658077","51 bUkit bAtoK CREseNt uniTY centre ,08-18"
9 Battery Road #09-04 STRAITS TRADING BUILDING 49910,9 battery roAd #09-04 sTraitS trading bUilding 49910
9 Battery Road #09-04 STRAITS TRADING BUILDING 49910,9 Bzttery ROAD #9-04 STRAITS TRADING BUILDING S(49910)
9 Battery Road #09-04 STRAITS TRADING BUILDING 49910,9 Battery ROAD #09-04 STRAITS fRADING BUILDING Singapore 49910
18 Boon Lay Way 09-166 Tradehub 21 609966,18 Boon lay way 09-166 TRAdehub 21 Singapore 609966 (Near Exit A)
18 Boon Lay Way 09-166 Tradehub 21 609966,18 Bool Lay Way 09-166 Tradehub 21 S609966 (Opposite XXX)
18 Boon Lay Way 09-166 Tradehub 21 609966,18 Boon lay wAy 09-166 tradEhUb 21 S(609966)
"164, bukit merah central 01-3625, 150164",164 bukit merah central 01-3625  SG 150164
"164, bukit merah central 01-3625, 150164",164 buKIt mErah ceNtrAl 01-3625  SG 150164
"164, bukit merah central 01-3625, 150164",164  bukit merah central 01-3625 
"50, Carlisle Road 219650","50, cArlisLe roAd SG 219650"
"50, Carlisle Road 219650","50, Carlisle Road S(219650)"
"50, Carlisle Road 219650","50, carLislE rd 219650 (Near Exqt A)"
82 Macpherson Lane 01-17 360082,82 Macpherson Lane 01-17 Singapore 360082
82 Macpherson Lane 01-17 360082,82 mACphersoN Lane 01-17 360082
82 Macpherson Lane 01-17 360082,82 Macpherson Ln 01-17 Singapore 360082 (Near Exit A)
20 CECIL STREET 06-06 Equity Plaza 49705,20 CECIL STREET 06-06 Equity Plaza Singapore 49705
20 CECIL STREET 06-06 Equity Plaza 49705,20 CECIL STREET 06-06 Equity Plaza SG 49705
20 CECIL STREET 06-06 Equity Plaza 49705,20 CECIL STREET 06-06 Equity Plaza
180 PAYA LEBAR ROAD#05-04 409032,180 PAYA LEhAR ROAD#05-04 Singapore 409032 (Opposite Gate 3)
180 PAYA LEBAR ROAD#05-04 409032,180 PAYA LEBAR ROAD#05-04 409032
180 PAYA LEBAR ROAD#05-04 409032,180 paya lEbar road#5-04
115A C'Wealth Dr #05-24 Tanglin Halt Ind Est S() 149596,115A C'Wealth Dr #05-24 Tanglin Halt Ind Est S() S149596
115A C'Wealth Dr #05-24 Tanglin Halt Ind Est S() 149596,115a c'WeaLTh dr #05-24 tangLiN halT Ind EsT s() SG 149596 (Opposite XXX)
115A C'Wealth Dr #05-24 Tanglin Halt Ind Est S() 149596,115A c'wEalTh dr #05-24 tAnglIn hAlt iND est s() S149596
1013 Geylang East Avenue 3 #03-118 389728,1013 Geylang East ave 3 #03-11 S(389728)
1013 Geylang East Avenue 3 #03-118 389728,1013 Geylang East ave 3 #03-118
1013 Geylang East Avenue 3 #03-118 389728,1013 Geylang East ave 3 #03-118 SG 389728
636 BUKIT BATOK CENTRAL 01-10 650636,636 buKIt BaTok CeNTraL 01-10
636 BUKIT BATOK CENTRAL 01-10 650636,636 bukIt baToK ceNTRal 01-10 SG 650636
636 BUKIT BATOK CENTRAL 01-10 650636,636 BUKIT BATOK CENTRAL 01-10 SG 650636
34 Jurong Port Road 619107,34 juRoNg pOrT Road
34 Jurong Port Road 619107,34 JuroNg porT rd 619107
34 Jurong Port Road 619107,34 juRong yOrt Rd (Near Exit A)
119 DEVONSHIRE RD ORCHARD POINT 239881,119 DEvonshire rd orchard Point 239881
119 DEVONSHIRE RD ORCHARD POINT 239881,119 DEVONSHIRE RD ORCHARD POINT
119 DEVONSHIRE RD ORCHARD POINT 239881,119 DEVONSHIRE RD ORCHARD POjNT SG 239881
"No. B1 Dongshe Road, Dongjing Ind Zone 201619",nO. b1 dongShE road  DongJIng Ind zoNE 201619
"No. B1 Dongshe Road, Dongjing Ind Zone 201619",No. B1 DoNGshe ROAd donGting INd Zone S201619
"No. B1 Dongshe Road, Dongjing Ind Zone 201619",no. b1 DongshE roAD doNgJing InD zonE 201619 (Behind Cappark)
102E Pasir Panjang Rd #04-05 118529,102e paSvR PanJang Rd #04-05 118529
102E Pasir Panjang Rd #04-05 118529,102E Pasir Panjang Rd #04-05 118529
102E Pasir Panjang Rd #04-05 118529,102E Pasir Panjang Rd #4-05
"Harvey Norman - Suntec City Mall, 3 Suntec City Mall, 38983","Harvey Norman - Suntec City Mall, 3 Suntec City Mall, Singapore 38983 (Opposite XXX)"
"Harvey Norman - Suntec City Mall, 3 Suntec City Mall, 38983","haRvey norman - suNteC cipy mAlL, 3 sUntec city MALL,"
"Harvey Norman - Suntec City Mall, 3 Suntec City Mall, 38983","harvEY nORMan - sUNtec city maLL, 3 sUntEC ciTh maLL, (Opposite XXX)"
118 Rivervale Dr #01-30 540118,118 Rivervale Dr #01-30 S(540118)
118 Rivervale Dr #01-30 540118,118 Rivervale Dr #01-30
118 Rivervale Dr #01-30 540118,118 rivervalE DR #01-30 540118
808 French Road #06-167 Kitchener Complex 200808,808 French Road #06-16 Kitcheker Complex S200808 (Near Exit A)
808 French Road #06-167 Kitchener Complex 200808,808 FrEncH roAd #06-16 KitchenEr complEX
808 French Road #06-167 Kitchener Complex 200808,808 FRench RD #06-16 kiTCHener comPLex S(200808)
802 Tampines Avenue 4 520802,802 TAmPineS ave 4 SG 520802
802 Tampines Avenue 4 520802,802 Tampines Avenue 4 S(520802)
802 Tampines Avenue 4 520802,802 tAMpInes aveNUE 4 (Near Exit A)
57A NEW UPPER CHANGI ROAD 01-1394 462057,57A NEW UPPaR CHANGI ROAD 01-1394 SG 462057 (Opposite XXX)
57A NEW UPPER CHANGI ROAD 01-1394 462057,57A NEW UPPER CHANGI ROAD 01-1394
57A NEW UPPER CHANGI ROAD 01-1394 462057,57A NEW UPPER CHANGI ROAD 01-1394 Singapore 462057 (Behind Carpark)
Shun Li Industrial Park 127 Kaki Bukit Avenue 1 #04-00 415998,Shun Li Industrial Park 127 Kaki Bukit ave 1 #04-00 415998 (Near Gate 3)
Shun Li Industrial Park 127 Kaki Bukit Avenue 1 #04-00 415998,Shun Li Industrial Park 127 Kaki Bukit ave 1 #04-00 S415998
Shun Li Industrial Park 127 Kaki Bukit Avenue 1 #04-00 415998,Shun Li Industrial Park 127 Kaki Bukit AVENUE 1 #04-00 S(415998)
101-A UPPER CROSS STREET 11-14 58358,101-A UPgER CROSS STREET 11-14 Singapore 58358
101-A UPPER CROSS STREET 11-14 58358,101-A UPPER CROSS STREET 11-14 Singapore 58358
101-A UPPER CROSS STREET 11-14 58358,101-A UPPER CROSS STREET 11-14 S58358
100 Tras Street #18-01 Amara Corporate Tower 79027,100 tras stReEt #18-01 amara cOrporaTe Tower 79027 (Near Gate 3)
100 Tras Street #18-01 Amara Corporate Tower 79027,100 Tras st #18-01 Amara Corporate Tower S79027
100 Tras Street #18-01 Amara Corporate Tower 79027,100 Tras st #18-01 amaxa corPoRate ToWer 79027
3 SHENTON WAY 14-05 SHENTON HOUSE 68805,3 sHEnTOn way 14-05 SheNton hOusE 68805
3 SHENTON WAY 14-05 SHENTON HOUSE 68805,3 SheNtoN waY 14-05 Shenton hOuSe SG 68805 (Opposite Gate 3)
3 SHENTON WAY 14-05 SHENTON HOUSE 68805,3 sHEnton WAy 14-05 sHeNtoN hOUSE Singapore 68805
996 BENDEEMER ROAD 03-04 339944,996 BENDEEMER ROAD 03-04 Singapore 339944 (Near Exit A)
996 BENDEEMER ROAD 03-04 339944,996 BENDEEMER ROAD 03-04
996 BENDEEMER ROAD 03-04 339944,996 BENDEEMER ROAD 03-04
Suntec Tower One 7 Temasek Boulevard #08-02 38987,sunteC tower one 7 temaSek Blvd #8-02 S38987 (Near Exit A)
Suntec Tower One 7 Temasek Boulevard #08-02 38987,Suntec Tower One 7 Temasmk Boulevard #08-02 Singapore 38987 (Opposite Gate 3)
Suntec Tower One 7 Temasek Boulevard #08-02 38987,suNtec TOwEr oNe 7 temasek BoUlevarD #8-02
484 River Valley Rd S() 248369,484 River Valley Rd S() (Opposite XXX)
484 River Valley Rd S() 248369,484 River Valley Rd S()
484 River Valley Rd S() 248369,484 riveR VAlleY RD S() S(248369)
820 Upper Changi Road East 486852,820 upPEr chanGi rcAd easT Singapore 486852
820 Upper Changi Road East 486852,820 Upper Changi Rd East SG 486852
820 Upper Changi Road East 486852,820 Upper Changi Road East S486852 (Opposite XXX)
51 UBI AVENUE 1 03-11 PAYA UBI IND PARK 408933,51 UBI AVENUE 1 03-11 PAYA UBI IND PARK Singapore 408933 (Behind Carpark)
51 UBI AVENUE 1 03-11 PAYA UBI IND PARK 408933,51 UBI AVENUE 1 03-11 PAYA UBI IND PARK Singapore 408933
51 UBI AVENUE 1 03-11 PAYA UBI IND PARK 408933,51 UBi avenue 1 03-11 paYA UBi Ind Park SG 408933
1 Sophia Rd #05-13 Peace Centre S() 228149,1 sophia RD #5-13 PeAce ceNtre S() Singapore 228149 (Behind Carpark)
1 Sophia Rd #05-13 Peace Centre S() 228149,1 soPHiA Rd #5-13 pEAce CENTRe S() Singapore 228149
1 Sophia Rd #05-13 Peace Centre S() 228149,1 Sophia Rd #05-13 Peace Centre S() 228149
240 Macpherson Road #07-02 Pines Industrial Building 348574,240 Macpherson ROAD #07-02 Pines Industrial Building SG 348574
240 Macpherson Road #07-02 Pines Industrial Building 348574,240 Macpherson rd #07-02 Pines Industrial Building SG 348574
240 Macpherson Road #07-02 Pines Industrial Building 348574,240 Macpherson Road #7-02 Pxnes Industrial Building
100 Lor 23 Geylang #05-03 388398,100 loR 23 gEyLAng #05-03 S388398
100 Lor 23 Geylang #05-03 388398,100 Lor 23 Geylang #05-03 388398 (Beside MRT)
100 Lor 23 Geylang #05-03 388398,100 Lor 23 Geylang #05-03 SG 388398
14 14 Scotts Road 04-83 Far East Plaza 228213,14 14 SCoTTs Rd 04-83 faR eaSt plazA S228213
14 14 Scotts Road 04-83 Far East Plaza 228213,14 14 Scotts Road 04-83 Far East Plaza (Opposite XXX)
14 14 Scotts Road 04-83 Far East Plaza 228213,14 14 scottS rD 04-83 Far EasT plAZa Singapore 228213 (Behind Carpark)
400 Orchard Road #04-33 ORCHARD TOWERS 238875,400 orchaRd rd #04-33 orcHaRD ToWeRS SG 238875
400 Orchard Road #04-33 ORCHARD TOWERS 238875,400 orCHaRD rd #04-33 Orchard ToWers Singapore 238875
400 Orchard Road #04-33 ORCHARD TOWERS 238875,400 Orchard rd #04-33 ORCHARD TOWERS S238875
"304 ORCHARD ROAD, #02-45 238863",304 orCHArd Road  #02-45
